Signatur;Titel;Spalte2
 Cod. 12252;Litterae annuae provinciae Austriae Societatis Iesu a. 1641;Cod.
 Cod. 12253;Litterae annuae provinciae Austriae Societatis Iesu a. 1642;Cod.
 Cod. 12254;Litterae annuae provinciae Austriae Societatis Iesu a. 1651;Cod.
 Cod. 12255;Litterae annuae provinciae Austriae Societatis Iesu a. 1663;Cod.
 Cod. 12256;Litterae annuae provinciae Austriae Societatis Iesu a. 1665;Cod.
 Cod. 12257;Litterae annuae provinciae Austriae Societatis Iesu a. 1682;Cod.
 Cod. 12258;Litterae annuae provinciae Austriae Societatis Iesu a. 1683;Cod.
 Cod. 12259;Litterae annuae provinciae Austriae Societatis Iesu a. 1684;Cod.
 Cod. 12260;Litterae annuae provinciae Austriae Societatis Iesu a. 1693;Cod.
 Cod. 12261;Litterae annuae provinciae Austriae Societatis Iesu a. 1722;Cod.
 Cod. 12262;Litterae annuae provinciae Austriae Societatis Iesu a. 1723;Cod.
 Cod. 12263;Litterae annuae provinciae Austriae Societatis Iesu a. 1725;Cod.
 Cod. 12264;Litterae annuae provinciae Austriae Societatis Iesu a. 1726;Cod.
 Cod. 12265;Litterae annuae provinciae Austriae Societatis Iesu a. 1727;Cod.
 Cod. 12266;Litterae annuae provinciae Austriae Societatis Iesu a. 1734;Cod.
 Cod. 12267;Litterae annuae provinciae Austriae Societatis Iesu a. 1711;Cod.
 Cod. 12268;Litterae annuae provinciae Austriae Societatis Iesu a. 1735;Cod.
 Cod. 12269;Litterae annuae provinciae Austriae Societatis Iesu a. 1737;Cod.
 Cod. 12270;Litterae annuae provinciae Austriae Societatis Iesu a. 1731;Cod.
 Cod. 12271;Litterae annuae provinciae Austriae Societatis Iesu a. 1747;Cod.
 Cod. 12272;Litterae annuae provinciae Austriae Societatis Iesu a. 1733;Cod.
 Cod. 12273;Litterae annuae provinciae Austriae Societatis Iesu a. 1752;Cod.
 Cod. 12274;Litterae annuae provinciae Austriae Societatis Iesu a. 1752;Cod.
 Cod. 12275;Litterae annuae provinciae Austriae Societatis Iesu a. 1752;Cod.
 Cod. 12276;Litterae annuae provinciae Austriae Societatis Iesu a. 1752;Cod.
 Cod. 12277;Litterae annuae provinciae Austriae Societatis Iesu a. 1752;Cod.
 Cod. 12278;Litterae annuae provinciae Austriae Societatis Iesu a. 1760;Cod.
 Cod. 12279;Litterae annuae provinciae Austriae Societatis Iesu a. 1770;Cod.
 Cod. 12280;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1666;Cod.
 Cod. 12281;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1667;Cod.
 Cod. 12282;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1669;Cod.
 Cod. 12283;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1670;Cod.
 Cod. 12284;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1675;Cod.
 Cod. 12285;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1676;Cod.
 Cod. 12286;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1679;Cod.
 Cod. 12287;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1685;Cod.
 Cod. 12288;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1702;Cod.
 Cod. 12289;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1703;Cod.
 Cod. 12290;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1704;Cod.
 Cod. 12291;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1705;Cod.
 Cod. 12292;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1706;Cod.
 Cod. 12293;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1707;Cod.
 Cod. 12294;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1708;Cod.
 Cod. 12295;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1709;Cod.
 Cod. 12297;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1711;Cod.
 Cod. 12298;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1712;Cod.
 Cod. 12299;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1713;Cod.
 Cod. 12300;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1714;Cod.
 Cod. 12301;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1715;Cod.
 Cod. 12302;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1716;Cod.
 Cod. 12303;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1717;Cod.
 Cod. 12304;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1718;Cod.
 Cod. 12305;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1719;Cod.
 Cod. 12306;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1720;Cod.
 Cod. 12307;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1721;Cod.
 Cod. 12308;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1722;Cod.
 Cod. 12309;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1723;Cod.
 Cod. 12310;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1725;Cod.
 Cod. 12311;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1726;Cod.
 Cod. 12312;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1727;Cod.
 Cod. 12313;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1728;Cod.
 Cod. 12314;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1729;Cod.
 Cod. 12315;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1730;Cod.
 Cod. 12316;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1731;Cod.
 Cod. 12317;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1732;Cod.
 Cod. 12318;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1733;Cod.
 Cod. 12319;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1734;Cod.
 Cod. 12320;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1736;Cod.
 Cod. 12321;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1737;Cod.
 Cod. 12322;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1738;Cod.
 Cod. 12323;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1739;Cod.
 Cod. 12324;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1740;Cod.
 Cod. 12325;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1741;Cod.
 Cod. 12326;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1742;Cod.
 Cod. 12327;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1743;Cod.
 Cod. 12328;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1744;Cod.
 Cod. 12329;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1745;Cod.
 Cod. 12330;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1746;Cod.
 Cod. 12331;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1747;Cod.
 Cod. 12332;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1748;Cod.
 Cod. 12333;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1749;Cod.
 Cod. 12334;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1750;Cod.
 Cod. 12335;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1753;Cod.
 Cod. 12336;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1754;Cod.
 Cod. 12337;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1755;Cod.
 Cod. 12338;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1756;Cod.
 Cod. 12339;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1756;Cod.
 Cod. 12340;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1757;Cod.
 Cod. 12341;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1758;Cod.
 Cod. 12342;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1759;Cod.
 Cod. 12343;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1761;Cod.
 Cod. 12344;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1762;Cod.
 Cod. 12345;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1763;Cod.
 Cod. 12346;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1764;Cod.
 Cod. 12347;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1765;Cod.
 Cod. 12348;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1711;Cod.
 Cod. 12349;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1741;Cod.
 Cod. 12350;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1742;Cod.
 Cod. 12351;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1743;Cod.
 Cod. 12352;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1744;Cod.
 Cod. 12353;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1745;Cod.
 Cod. 12354;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1747;Cod.
 Cod. 12355;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1748;Cod.
 Cod. 12356;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1750;Cod.
 Cod. 12357;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1755;Cod.
 Cod. 12358;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1744;Cod.
 Cod. 12359;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1766;Cod.
 Cod. 12360;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1693;Cod.
 Cod. 12361;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1693;Cod.
 Cod. 12362;Informationes ad gubernandum provinciam Poloniae Societatis Iesu a. 1700;Cod.
 Cod. 12363;Informationes ad gubernandum provinciam Poloniae Societatis Iesu a. 1726;Cod.
 Cod. 12364;Informationes ad gubernandum provinciam Poloniae Societatis Iesu a. 1730;Cod.
 Cod. 12365;Informationes ad gubernandum provinciam Poloniae Societatis Iesu a. 1734;Cod.
 Cod. 12366;Litterae annuae vice-provinciae Sinensis Societatis Iesu a. 1746;Cod.
 Cod. 12367;Litterae annuae residentiae Wartenbergensis Societatis Iesu a. 1727-1744 et 1656;Cod.
 Cod. 12368;Inventarium tabulariorum Societatis Iesu provinciae Austriae secundum singula collegia, domicilia etc.;Cod.
 Cod. 12369;Album omnium debitorum Societatis Iesu in provincia Bohemiae etc.;Cod.
 Cod. 12370;Computus de statu temporali collegii Societatis Iesu Pragae ad S. Ignatium a. 1740-1772;Cod.
 Cod. 12386;Supplementum historiae domus professae Societatis Iesu Pragae ad S. Nicolaum cum adiuncto gymnasio a. 1700-1704;Cod.
 Cod. 12387;Supplementum historiae domus professae Societatis Iesu Pragae ad S. Nicolaum cum adiuncto gymnasio a. 1700-1704;Cod.
 Cod. 12391;Liber consultationum collegii Societatis Iesu Brunensis in Moravia a. 1688-1745;Cod.
 Cod. 12391;Prima sollemnitas in monte Crucis prope Sobeschitium in Moravia a collegio Societatis Iesu Brunensi a. 1718 celebrata;Cod.
 Cod. 12404;Liber I ordinationum perpetuarum. Pars I complectens ordinationes generalium Societatis Iesu a. 1575-1632;Cod.
 Cod. 12406;Rationes generales residentiae Leopoldinae Societatis Iesu Neostadii a. 1746-1773;Cod.
 Cod. 12407;Examen candidatorum Societatis Iesu in collegio Viennensi a. 1648-1678;Cod.
 Cod. 12408;Examen candidatorum Societatis Iesu in collegio Viennensi a. 1679-1714;Cod.
 Cod. 12409;Examen candidatorum Societatis Iesu in collegio Viennensi a. 1715-1772;Cod.
 Cod. 12410;Rationes semestres R. P. procuratoris provincialis Viennae de residentia s. Leopoldi Societatis Iesu Neostadii a. 1747-1773;Cod.
 Cod. 12410;Rationes trimestres residentiae Leopoldinae Societatis Iesu Neostadii a. 1747-1773;Cod.
 Cod. 12413;De iuribus Societatis Iesu tam in rebus spiritualibus quam in aliis;Cod.
 Cod. 12414;Formulae iuramentorum etc. proponendae scholasticis, coadiutoribus etc. professis tum trium votorum simplicium tum quattuor etc. Societatis Iesu;Cod.
 Cod. 12414;Notabilia varia de indulgentiis Societatis Iesu;Cod.
 Cod. 12414;Syntagma iuris universi Societatis Iesu;Cod.
 Cod. 12416;Liber consultationum, collectionum, exhortationum, resolutionum et suffragiorum a. 1721-1773 collegii Samoriensis in provincia Poloniae Societatis Iesu;Cod.
 Cod. 12417;Historia collegii Crosnensis Societatis Iesu a. 1720-1772;Cod.
 Cod. 12419;Catalogus personarum collegii Graecensis Societatis Iesu a. 1644 Ferdinando III. imperatori oblatus;Cod.
 Cod. 12420;Magisterium inferiorum classium Societatis Iesu magistris accommodatum a. 1740;Cod.
 Cod. 12480;Vereichnis deren Archivs-Urkunden und Acten des Collegii Societatis Iesu zu Graz;Cod.
 Cod. 12848;Fatum Societatis Iesu. Carmen in scriptis posthumis repertum a. 1800;Cod.
 Cod. 13253;Disticha in praemiorum distributione recitata in gymnasio domus professae Societatis Iesu Viennae;Cod.
 Cod. 13319;Menologium germanicum Societatis Iesu;Cod.
 Cod. 13558;Acta et epistolae de collegio Societatis Iesu Telczensi;Cod.
 Cod. 13558;Epistolae patrum Societatis Iesu et consuetudines pro templo et domo Societatis Iesu Telczensi;Cod.
 Cod. 13558;Epistolae quattuor germanicae de collegio Societatis Iesu Telczensi fundando;Cod.
 Cod. 13558;Ichnographiae tres de collegio Societatis Iesu Telczensi construendo;Cod.
 Cod. 13558;Notabilia de collegio Hradistiensi Societatis Iesu;Cod.
 Cod. 13558;Notabilia de collegio Societatis Iesu Turzanensi;Cod.
 Cod. 13559;Diaria collegii Olomucensis Societatis Iesu a. 1572-1580;Cod.
 Cod. 13559;Diaria collegii Olomucensis Societatis Iesu a. 1589-1590;Cod.
 Cod. 13559;Fragmenta varia ad historiam collegii Olomucensis Societatis Iesu facientia saec. XVI;Cod.
 Cod. 13559;Historia collegii Olomucensis Societatis Iesu a. 1565-1569;Cod.
 Cod. 13559;Historia collegii Olomucensis Societatis Iesu a. 1565-1580;Cod.
 Cod. 13561;Litterae annuae Societatis Iesu provinciae Austriae a. 1615 et 1616;Cod.
 Cod. 13562;Litterae annuae Societatis Iesu provinciae Austriae a. 1617-1619;Cod.
 Cod. 13563;Litterae annuae Societatis Iesu provinciae Austriae a. 1619-1623 et 1625-1627;Cod.
 Cod. 13564;Litterae annuae Societatis Iesu provinciae Austriae a. 1628-1632;Cod.
 Cod. 13565;Litterae annuae Societatis Iesu a. 1632 in usum legentium adaptatae;Cod.
 Cod. 13565;Litterae annuae Societatis Iesu provinciae Austriae a. 1632 ad G. Forro Societatis Iesu provincialem;Cod.
 Cod. 13600;Historia de ortu et progressu collegii Sprintzensteiniani Societatis Iesu Lignicii;Cod.
 Cod. 13601;Litterae quadrimestres et alia acta ad historiam collegii Clementini Societatis Iesu Pragae a. 1565-1588 facientia;Cod.
 Cod. 13602;Augmentum historiae collegii et domus probationis Brunensis Societatis Iesu a. 1660-1665;Cod.
 Cod. 13602;Augmentum historiae collegii et domus probationis Brunensis Societatis Iesu a. 1666-1667;Cod.
 Cod. 13602;Historia domus probationis Brunensis Societatis Iesu a. 1569-1581;Cod.
 Cod. 13602;Relatio de collegio et domo probationis Brunensi Societatis Iesu a. 1708;Cod.
 Cod. 13602;Supplementum historiae collegii et domus primae probationis Societatis Iesu Brunensis a. 1714;Cod.
 Cod. 13604;Epistolae quinque variorum Societatis Iesu de ecclesia Glacensi;Cod.
 Cod. 13620;Liber quintus ordinatium continens ordinationes temporaneas ex Urbe a patribus generalibus Societatis Iesu a. 1597-1773 missas in provinciam Poloniae;Cod.
 Cod. 13739;Historia fundationis et progressus collegii Olomucensis Societatis Iesu usque ad finem saec. XVII;Cod.
 Cod. 13748;Historia collegii Iglaviensis Societatis Iesu a. 1624-1637: Fragmentum;Cod.
 Cod. 13748;Historia collegii Iglaviensis Societatis Iesu a. 1624-1640: Fragmentum;Cod.
 Cod. 13748;Historia collegii Iglaviensis Societatis Iesu a. 1647-1674: Fragmentum;Cod.
 Cod. 13748;Litterae ad rectorem collegii Iglaviensis Societatis Iesu a. 1648;Cod.
 Cod. 13749;Litterae annuae collegii Iglaviensis Societatis Iesu a. 1628-1753;Cod.
 Cod. 13750;Catalogi personarum et officiorum collegii Iglaviensis Societatis Iesu a. 1625-1759;Cod.
 Cod. 13750;Epistolae nonnullae ad rectores temporaneos collegii Iglaviensis Societatis Iesu;Cod.
 Cod. 14002;Historia collegii Soproniensis Societatis Iesu a. 1636-1773. Vol. I.;Cod.
 Cod. 14003;Historia collegii Soproniensis Societatis Iesu a. 1636-1773. Vol. II.;Cod.
 Cod. 14004;Historia collegii Soproniensis Societatis Iesu a. 1636-1773. Vol. III.;Cod.
 Cod. 14074;Elogia virorum illustrium Societatis Iesu olim provinciae Bohemiae;Cod.
 Cod. 14104;Historia collegii Societatis Iesu Neo-Pragae a. 1628-1667;Cod.
 Cod. 14214;Historia collegii Societatis Iesu Clatoviensis in Bohemia: Fragmentum;Cod.
 Cod. 14214;Historia fundationis variorum collegiorum societatis Iesu in Bohemia, Moravia et Silesia;Cod.
 Cod. 14214;Notitiae de pluribus collegiis, residentiis etc. Societatis Iesu;Cod.
 Cod. 14382;Diarium collegii Societatis Iesu Patavii a. 1670-1684;Cod.
 Cod. 14823;Responsa generalium Societatis Iesu ad propositiones etc. provinciae Austriae a. 1568-1710;Cod.
 Cod. 15027;Adversaria diversorum patrum Societatis Iesu de mausoleis etc. principum Viennae defunctorum a. 1630-1679;Cod.
 Cod. 11958*;Litterae annuae collegii Znoymensis Societatis Iesu a. 1624-1772;Cod.
 Cod. 11998*;Litterae annuae collegii Hradistiensis Societatis Iesu a. 1645-1736;Cod.
 Cod. 12009*;Status temporales domiciliorum et collegiorum provinciae minoris Poloniae Societatis Iesu a. 1745-1772;Cod.
 Cod. 12162*;Litterae annuae provinciae Austriae Societatis Iesu a. 1769;Cod.
 Cod. 12367*;Memoriale quoddam pro dominio Wartenbergensi Societatis Iesu;Cod.
 Cod. 12404*;Responsio generalium Societatis Iesu in ordinem redacta;Cod.
 Cod. 12410*;Rationes trimestres collegii Hradistiensis cum seminario Societatis Iesu a. 1763-1773;Cod.
 Cod. 12417*;Historia collegii Crosnensis Societatis Iesu a. 1721 ad M. A. Tamburinum generalem etc.;Cod.
 Cod. 12419*;Catalogus personarum collegii Graecensis Societatis Iesu a. 1640;Cod.
 Cod. 13558*;Litterae annuae domus Telczensis Societatis Iesu a. 1656-1751;Cod.
 Cod. 13559*;Compendium historiae collegii Olomucensis Societatis Iesu a. 1705-1713;Cod.
 Cod. 13559*;Epitome rerum gestarum in collegio Olomucensi Societatis Iesu a. 1566-1689;Cod.
 Cod. 13559*;Historia collegii Olomucensis Societatis Iesu a. 1717-1722;Cod.
 Cod. 13559*;Notabiliora de collegio Olomucensi Societatis Iesu a. 1616-1646;Cod.
 Cod. 13559*;Notata varia vetera de collegio Olomucensi Societatis Iesu diariorum fragmenta etc.;Cod.
 Cod. 13559*;Notitiae variae de collegio Olomucensi Societatis Iesu e diariis ab initio collegii usque ad a. 1644;Cod.
 Cod. 13602*;Elenchus diplomatum quondam existentium in collegio Societatis Iesu Brunensi in residentia Turzanensi et in seminario Brunensi;Cod.
 Cod. 13602*;Litterae annuae domus probationis Societatis Iesu a. 1622-1637;Cod.
 Cod. 13602*;Litterae annuae provinciae Sinensis Societatis Iesu a. 1751;Cod.
 Cod. 7981*;Consuetudines provinciae Austriae Societatis Iesu a. 1699, 14. Novembris;Cod.
